15.5;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
16.3;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
16.9;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
17;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
17.1;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
17.3;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
17.5;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
17.6;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
17.9;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
18;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
18.1;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
18.2;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
18.3;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
18.4;[5.0, 18.5[;[5.0, 18.5[;[5.0, 30.0[;[5.0, 250.0[;*
18.5;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
18.6;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
18.7;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
18.8;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
18.9;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.1;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.2;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.3;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.4;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.5;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.6;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
19.7;[18.5, 25.0[;[18.5, 30.0[;[5.0, 30.0[;[5.0, 250.0[;*
